abstract,categories
" the muslim people in kasgar , #xinjiang #china they don't use burquka or cover their face . seem they are more or less like chinese custom wearing western type of dress well get together . yes i send your this link in whatapp in india will check if it can be open in taiwan too.",:joy:
I don’t know why dancing is such a big topic on Twitter… It is just a daily life thing there in #Xinjiang #urumqi . Here’s a video I took when I was home and took a after supper walk (餐後散步）with my parents years before. It happened every day there.⁦,:joy:
"more #lawsuits by #china! u r not alone! #xinjiang companies sue dr #adrianzenz, #uyghur people sue . noone sued by the #ccp? hilarious. our #reddragon #dramaqueen never ceases to amaze. when does the world get started to sue ccp f #covid19?! ",:wink:
" come to xinjiang,see it ,not see it on internet",:smile:
When are people going to realise America is ALWAYS up to no good  #Xinjiang #XinjiangCotton #China #Uighurs #UighurGenocide #USA #Trump #Biden #UK #Britain #EU #Australia #auspol #NewZealand #Breaking #News #BBC #CNN #MSNBC #ABC #CBS #WakeUp #Covid19,:point_down:
 pls retweet #ccp #genocide #xinjiang #uyghurgenocide #ai #humanrightsviolations #iot #fintech #china #tech #bitcoin #beijing #ccpchina #beijing #carlyu #zongwenyu #covid19 #fraud #huluntong #lies ,:flag_for_China:
 proud that women in xinjiang can be free from being baby-making machines. ,:thumbsup:
" what have the uyghurs done for us russian/us backed separatists in china's xinjiang region, pursue a textbook terror campaign;s on s, stabbing-up folk in street markets, etc + their uk representatives are in a bubble with ",:thinking_face:
 Meanwhile in Xinjiang Red China  is running modern CONCENTRATION CAMPS against its own population ,:flushed:
The French showtrying to explain #Xinjiang #Uyghurs #China to its audience. It looks like China annexed Tajikistan and Kyrgyzstan first of all  Also they say the practice of Islam is lawfully prohibited in China (not only XJ) and 3-5 millions are locked up in camps,:satisfied:
the real #Xinjiang,:heart:
 Is this the camp video you found?  This place is in the old city center of Kashgar in southern Xinjiang.:rolling_on_the_floor_laughing:,:joy:
 Use  the same scrutiny on  the CCP narrative of coronavirus  as you would for Xinjiang  otherwiseyou condone a dictator.,:clap:
"It is fortunate that #China is strong and clever. Otherwise, the #US might have turned #Xinjiang into another #Palestine. ",:face_with_monocle:
 | #China is using coercive policies to drive down birth rates amongst the #Uighur population in #Xinjiang,:rotating_light:
 us constructed concentration camps in xinjiang ,:thinking_face:
"Picking sea buckthorn berries, Xinjiang China. Rich in Vitamin C (400mg/100g), sea buckthorn berry juice is a strong antioxidant agent, and most honest flavor of Xinjiang. 好想念新疆的沙棘汁",:heart_eyes:
"it's hard to image that,today,still a large amount of fools believe that salvery is existing in xinjiang.just ridiculous. #h;m #xinjiang ",:zany_face:
 how can you prove that you are a xinjiang uyghur?,:thinking_face:
  US Customs officials seized a shipment of Uniqlo products allegedly used in forced labor in Xinjiang of China. 温哥华扬帆农场 US Customs officials detained a shipment of cotton shirts from Uniqlo ⋯⋯⋯,:fire:
 probably better to be a state like hawaii than a xinjiang province ,:sunglasses:
"#Children should always grow up safe in a family environment, not in institutionsMass incarceration in #Xinjiang has left many Turkic Muslim children effectively parentless against their will and placed in institutionsRead newreport  ",:point_right:
" funny, that is your problem, like that also can blame youtube already many vlog travel in xinjiang, of course china haters can't see it and always want to demonize china",:clown_face:
" The US has satellite spy cameras all over the world and they can narrow down on someone to few feet. What can you hide from them?They just want a WMD excuse. Real soon, some clowns in Congress will start a bill to sanction China over Xinjiang and will unanimously approved. ",:rage:
"Thank you Luke de Pulford for your non stop voice on China’s Regime’s oppression of people in , Xinjiang, Tibet as well as participating in Myanmar military cruelty towards opposition. ",:pray:
 imho minister yang xiaoguang gave a calm and lucid rebuttal of the us claims regarding matters in xinjiang province. how are we little people supposed to differentiate the mighty propaganda wings of china and the us?,:thinking_face:
 look how xinjiang victims database got angry after i asked them why is former cia guatanamo bay employee listed on their list as a witness... i guess truth is insulting?  ,:thinking_face:
" I'm sure no one is oppressed in Xinjiang, the Uighur ppl enjoy 15 years of compulsory education compared with 9 for the Han Chinese",:thinking_face:
" there is no genocides in xinjiang ,come here and look around ,don't be a repeater of western media i'm from china and i know here",:grinning:
what about Muslim inxinjiang.. seem nobody cares about them .. ,:cry:
" I just look at how many clowns who have never been to Xinjiang but believe in the so-called """"all the truth"""" they know",:man_shrugging:
You may check  Birth rate in - XinJiangarrow_downflag_for_China:: 11.42 :arrow_down:5.5% :flag_for_United_States:: 11.99 :arrow_down:0.8%,:point_down:
" i’m malaysian and i’ve went to xinjiang the mosque in xinjiang are a lot more than in us, pls do visit there one day and you’ll see the real xinjiang ",:heart:
" wow, so much hate against china lol. it’s pretty funny to see y’all being a . people out here acting like they  understand about china and been to china before and been to xinjiang before. bruh, take that mfking cap off bro. we all know some news are fking fake.",:clown_face:
 because the ppl from xinjiang also use internet and communicate with other ppl in chinait’s all transparent and they even requested an apology from h;m ,:joy:
"Lol whatever u said, every Chinese live so happiness. I don’t know why u heard those fake news. And why u have so many prejudices to CCP. So give me some evidence instead of some funny pic included lovely XinJiang workers",:joy:
"Forced-celebration to capture on reel, does #CCP really think that these farcical videos can hoodwink the world from the reality of #Xinjiang and #UighurGenocide ?#ChinaExposed attempting for face saving campaign! ",:smirk:
 islamaphobic? do you even know what that means? that you called me that?...show your evidence that there is genocide happening there!! lol you are clueless about xinjiang,:joy:
"eu sanctions on china over uyghur mistreatment are out: 1. zhu hailun, former deputy communist party head in xinjiang 2. wang junzheng, party secretary of the xinjiang production and construction corps (/1)",:rotating_light:
" Not quite, they only care about Muslims in Chinese Xinjiang ",:thumbsup:
Pray that the #US doesn't 'stand with you'... #Vietnam #Laos #Libya #Syria #Iraq #Myanmar (Fortunately China stopped them 'standing'.. in #Xinjiang and #HongKong) Maybe it's time for the rest of the world to #StandWith America?:flag_for_Hong_Kong::flag_for_Myanmar::flag_for_Iran::flag_for_Palestinian_Territories::flag_for_Syria::flag_for_Egypt::flag_for_Iraq::flag_for_Russia:,:zany_face:
Chinese sports brand Li-Ning has seized on the wave of consumer nationalism following Chinese consumers’ boycott of global brands over their use of Xinjiang cottonRead more news on our website #Chinanews #Nike #XinjiangCotton,:eyes:
" so, the chinese government forces xinjiang people to drive the machines? ",:joy:
"Incomplete statistics show that from 1990 to the end of 2016, separatist, terrorist and extremist forces launched thousands of terrorist attacks in Xinjiang, killing large numbers of innocent people and hundreds of police officers, and causing immeasurable damage to property.",:arrow_down:
 Indeed. Times have changed. #China learned a lot from the #US. It is time for the US to learn from China now. Take a look at the #Urumqi metro station in #Xinjiang. ,:blush:
day 2 at the #scalingtheedge bootcamp as the teams are put through their paces on #digitaltesting and #marketdiscovery by from  great session- thanks shane! #linkedin #targeting #ukriflf #innovations ,:thumbsup:
"A huge thanks to the Hon. John McKay (), Member of the Canadian Parliament ( | ), for his fascinating article about China’s horrific abuses in Xinjiang. #uyghur #china #crime #un #canada #Xinjiang #Uyghurs #asia• ",:point_down:
"A coal mine explosion in Xinjiang, an autonomous region of China, may have led to a #Bitcoin (BTC) hashrate drop at a time when #Bitcoin... Read More #BitcoinNews #BitcoinPrice #BitcoinTrader #BitsellX #BuyBitcoin #CryptoCurrencyExchange",:point_right:
"bbc producer pushes zenz lies. not just monstering xinjiang, the bbc operates a news blackout on china's covid-19 eradication roadmap ; still treats koch-backed great barrington """"herd immunity"""" as valid. it shares responsibility for uk's huge covid deaths. ",:clap:
"From the early 20th century to the late 1940s, the “East Turkistan” forces, in an attempt to split and control Xinjiang and establish their state, promoted and spread the ideas of “Pan-Turkism”, “Pan-Islamism”, and violence and terrorism. ",:arrow_down:
Oh bravo Belinda  There is simply no other explanation for the name Xinjiang. It must be a colony of Han China ,:clap:
"emoticons activate face-sensitive areas of the xinjiang situation  , i maintain an ant….",:clap:
 i want to know something about the xinjiang cotton,:grimacing:
" and Iraq had weapons of mass deception... I don't know about millions of paid Chinese trolls, but I bet you are being paid to spread misinformation, SR worried sick about Xinjiang. ",:wink:
" true monster! zhou qi became no.1 player in #cba to grab 37 pts, 26 reb, 6 ast ; 4 blk.  the xinjiang center finished the 1st half against guangzhou with 18 pts ; 18 reb  ",:fire:
"It's kind of interesting how Russia supposedly controlled Mongolia, Manchuria, and Xinjiang. I mean... that's not a border you just randomly draw, much as the entire rest of the map is pretty much randomly drawn in. ",:thinking_face:
All you know is told by your country's controlled public opinion. Visit Xinjiang and Tibet of China sometime and ask the local people the truth,:smiley:
" It is so surprising that these Pakistanis will never speak about the genocide of Uighur Muslims in Xinjiang. Ye log khud China k haatho me bika hua hai. Even they gave china persmission to open a Alcohol shop in Pakistan, when alcohol is haram in islam.",:point_down:
 the poor power hungry  u.s really tried so hard to paint xinjiang as this war-ridden barren wasteland with crumbled buildings and suffering malnourished uyghurs locked up in concentration camp. the truth is very much different than that. :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::woman_facepalming_light_skin_tone:,:clown_face:
 it boosts xinjiang's development,:thumbsup:
xinjiang pizzathe help of nature. ,:sweat_smile:
china warns foreign brands over xinjiang :globe_with_meridians: chinese officials on monday said sweden's h;m and other foreign companies should not make rash moves or step into politics after the companies raised concerns about forced labor in #xinjiang.,:flag_for_China:
"#ludemedia mar 19 :flag_for_North_Korea:cuts ties with :flag_for_Malaysia:malaysia over us extradition :white_check_mark::flag_for_Malaysia: leaning to :flag_for_United_States: :flag_for_China:yang lectured :flag_for_United_States: delegation for 15+ minutes, all filmed he mentioned covid-19 control but not origin :white_check_mark::flag_for_China:might yield on :flag_for_Hong_Kong:, xinjiang, :flag_for_Taiwan: issues in exchange for leniency on covid-19.",:fire:
"Yeah, so what the f*ed up Tibet, Tibetans, Xinjiang, Hui, Kazakhs, Kyrgyz, Uyghurs, .. and all the other things. Lets just focus on trade.  Face of #Neo #Liberalism #Globalism people don't matter, only the elites do. Thats fine with China.",:thinking_face:
"Uyghur Muslims from Xinjiang refrain fasting during Ramadan, fearful of being branded as ‘extremist’ | The Fact News ",:point_down:
" Batane ka koi zarurat nahi  China knows it is trapped. To keep the coast happy, it needs markets and to keep the markets operating, it needs Xinjiang concentration camps and war on Indian border. They can't come out of this.",:grinning:
 commie-style lists are established on chinese artists to record if they have showed support over xinjiang cotton incident. looks like commie.,:wink:
  more power to Xinjiang 新彊,:heart:
"#ludemedia mar 19 :flag_for_North_Korea:cuts ties with :flag_for_Malaysia:malaysia over us extradition :white_check_mark::flag_for_Malaysia: leaning to :flag_for_United_States: :flag_for_China:yang lectured :flag_for_United_States: delegation for 15+ minutes, all filmed he mentioned covid-19 control but not origin :white_check_mark::flag_for_China:might yield on :flag_for_Hong_Kong:, xinjiang, :flag_for_Taiwan: issues in exchange for leniency on covid-19",:fire:
" as for the rumor about xinjiang, your good friend saudi arabia also stands with china. didn't you find it?",:joy:
 Would that be the Ben &amp; Jerry's owned by Unilever which uses products from factories in Xinjiang? Now Xinjiang has been in the news quite a lot recently for something…  ,:thinking_face:
" on : """"I will kill my son"""": Radicalized extremist in Xinjiang",:thumbsup:
"Pakistani NSA Said to The Print - Every think is all right in Xinjiang butPakistani Pm Khan told to a media channel that """"I don't know what's happening in Xinjiang Ohhh hello I am comparing joe Biden and pm Niazi:rolling_on_the_floor_laughing::joy:",:point_down:
 china agriculture ministry says new african swine fever outbreak found in xinjiang region,:flag_for_China:
" even if you """"live with your muslim girlfriend in the most populous muslim country in the world"""" what does this represent? does this mean you have to care about muslims in xinjiang, china? lol",:joy:
 You mean the debunking of Xinjiang propaganda. ,:wink:
" But ur the American believing whatever shitty right wing blog you come across?  There is no evidence of poor treatment. Every single verifiable article proves they are uplifting the Xinjiang region. Stop pretending your ignorance is factNice adhom, lil bish . ",:clown_face:
" funny, you listed an uyghur in the second picture. all her families are in xinjiang and are uighurs do you know where is xinjiang???:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",:joy:
 thank you sec. blinken for standing with xinjiang.,:pray:
"china's progress of dismantling religious extremism in xinjiang, the west and msm call this cultural genocide  ",:clown_face:
" you are ignorant. in fact, the best long pile cotton in xinjiang just depends on manual picking. just like tea, top tea is hand picked. where is forced labor? forced mechanical labor?",:joy:
"thank you! the real muslims know the truth, especially about xinjiang.",:thumbsup:
 Most of those are manufactured in China  VW uses slave labour in Xinjiang! Hugo boss child slaves in Xinjiang! Wake up,:joy:
"Eid Mubarak  Wishing you and your family all the blessings of ALLAH this day. To the Muslim Ummah facing oppression at masjid Al Aqsa, Palestine. China - Xinjiang. Kashmir. Syria. Iraq. Yemen. Our duas are with you.",:heart:
UK MPs declare China is committing genocide against Uyghurs in Xinjiang,:eyes:
"Well, the original of education camp isn't in Xinjiang. Another case of intellectual property steal. #Genocide #Xinjiang #215children",:wink:
 just like western fake news makers talk about xinjiang?,:joy:
"Chinese Vice Foreign Minister Le Yucheng spoke with Ken Teizo Moritsugu of the Associated Press (AP) at an exclusive interview. They talked about China-US relations, climate change, Xinjiang &amp; Hong Kong, etc.See full transcript of the interview  ",:point_right:
You think you can know everything about Xinjiang from the other side of the world? You should go there. The truth is not what you think it is,:smile:
wow  ulumqi in xinjiang looks vibrant at night,:thumbsup:
"Ha ha,They pay more attention on Ugyur people in Xinjiang China than Palestinian people. They talk about the human rights they want to talk and just ignore the human rights they don't want to talk. That's so called """"human rights""""",:joy:
Dw now K-netz are boycotting them The Chinese members supporting Xinjiang cotton labour so everyone angry at them,:joy:
 . Fighting terrorism is no excuse for executing Uighur Genocide in Xinjiang.  .,:shit:
OMG!! SO HAPPY to hear that the beautiful #Xinjiang actress #TongLiya is getting divorced with #ChenSicheng  on #520我爱你 lovers’ day!,:blush:
"lmaoAs an Uyghur, and speak for most Uyghurs,we never wanted people like you to make bad comments on issues you never understand and will never in your life understand.Have you ever been here?Only Ignorant Fools Will Believe Anything Good About Xinjiang is Chinese Propaganda",:joy:
"mr. hanahach badel, a kazakh herdsman bid farewell to his cattle and sheep, and turned to breeding camelsin a village in #xinjiang, china. take a look at his camel friend and find out why! ",:flag_for_China:
 so you killed a person then you recognized it. that’s all.  i guess you can’t even point out where is xinjiang on the map.,:joy:
" Ambassadors of Pak , Palestine and Syria giving interview to CGTN . Countries support China on Xinjiang...",:grin:
 the only thing the chinese government did wrong in the usa government's point of view is that they dare to get rid of the poverty and the terrorist in xinjiang. how could they stimulate uyghurs to uprise now? it's a headache for the usa government now. so the lie comes out.,:grinning:
I wanna see how many who’re like this absolutely believe the CCP when they say they’re helping to modernize the people of Xinjiang  But the funny state affiliated media twitter account person said...,:eyes:
"ngo behind the xinjiang forced labour rumours are better cotton initiative, a so-called independent organisation. we did a bit of digging and found they are heavily-funded by usaid, a us fed govt agency which receives direct instructions from us sec of state. #xinjiangcotton ",:point_down:
#IOC  International Olympic Committee#2022GenocideOlympics#VictimsOfCommunism #Xinjiang  #Uyghur #Muslim #FalunGongPractitioners:skull_and_crossbones: The Chinese Communist Party (CCP) as a Transnational Organized Crime Group and Chinese traitors #CCPGenocide,:zzz:
". If we have tarnish in human rights issue in America or overseas, then we should try to rectify them.But that doesn't justify China's Uighur Genocide in Xinjiang. Does Sachs agree that America should beat China to help the Uighurs in Xinjiang ?  .",:heart:
" Thanks, I'll keep on exposing accounts, who are stupid enough to cross my path. Let this be a warning to bs hatefilled accounts spreading hate speech against , :flag_for_Hong_Kong::flag_for_Macau::flag_for_Venezuela::flag_for_Philippines::flag_for_Pakistan::flag_for_Malaysia::flag_for_Lebanon::flag_for_Syria: :flag_for_Iraq: :flag_for_Libya: :flag_for_Yemen: :flag_for_Palestinian_Territories::flag_for_Singapore::flag_for_Nepal:, Xinjiang, etc:fist::fist::fist::fist::muscle::muscle::muscle::muscle:",:flag_for_China:
#新疆 #xinjiang #china a xinjiang girl was enrolled in fudan university and then she was enlisted in the army. ,:thumbsup:
"if i see this """"reporter"""" in xinjiang one day, i promise not to beat him to death.",:rage:
 You want to visit Xinjiang? Maybe Do some party with your guys ,:smiley:
People are singing and dancing to celebrate Eid al-Fitr in Xinjiang ,:thumbsup:
look at xinjiang city clean ; well planned xinjiang has 10 times more mosques than usa  one canadian said ,:point_right:
" show some photos of tiananmen and xinjiang too. you don't have to be afraid, as you are outside of china now and not using your real identity ",:blush:
Thank you for showing us the real Xinjiang. ,:pray:
"BREAKING3 killed, 27 injured in series of earthquakes in China, over 166 aftershocks recorded in Yangbi region.#China #earthquake #Chinese #Xinjiang #XiJinping #BREAKING #Breaking_news",:rotating_light:
" echte wetenschappers lezen zich in.  ‘and the disease of #wahhabism spread to #xinjiang as well. in 2002 (and a few times since then), the un officially labeled #etim (east turkistan islamic movement) as a terrorist organization linked to al qaeda.’ ",:arrow_down:
 OH NO !!!  OMG ... can BBC and CNN PLEASEreport that :the CCP is FORCING the people in Xinjiang to EXERCISE at the end of the fasting month (Ramadan) when they are HUNGRY and WEAK... .... until they drop DEAD !!!GENOCIDE !!!:zany_face::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::zany_face:,:flushed:
 Wow free HK and free Xinjiang didn’t have a spike enjoyed by free Tibet. I know someone over at CIA are gonna be fired ,:joy:
" surely you aren't a ccp """"mouthpiece"""". sure, lol. but yes, attack the bbc when they expose the big no-no's of the ccp (like xinjiang situation) might help if foreign press were allowed to move/report freely within china. the list of the likes amuses me... don't be fooled.:face_with_rolling_eyes:",:thumbsup:
 you guys should come to xinjiang and take a look，or you still think china was using black slave to collect the cotton as you guys.,:sweat_smile:
 China Government best way to develop the province of Xinjiang.,:blush:
 .Help Muslims !Help Muslims in Xinjiang !  .,:heart:
A coalition of #democracies is sanctioning China for its treatment of #Uyghurs. Does this herald a new joint strategy among democracies for addressing China’s human rights violations in Xinjiang?'sand ,:point_down:
" """"Informed analysis and opinion on Irish and international politics"""" my arse!..proceeds to google Xinjiang and post the most widely circulated propaganda. Would have thought someone claiming """"informed analysis"""" would be citing peer reviewed papers, not the Guardian and Vice ",:joy:
 #xinjiang has real hot girls #xinjiang don't have so-called 'genocide',:fire:
"in arabic we have a famous saying which says """" he lies and then he believes his own lie"""", this saying matches what the west is doing regarding #xinjiang region in #china, they created a lie called """"forced labour"""" and they believed it. ",:clown_face:
"”according to un estimates, china has detained more than a million uyghurs and other muslims in camps in xinjiang. the chinese state has been accused of an array of abuses there including forced labour, sterilisation, torture, rape, and genocide.” ",:point_down:
"in light of reports of #forcedlabor ; #humanrights abuses in #xinjiang, 57 investors with $4.4tr aum announced an escalation of their engagements with 47 companies in apparel, tech food/bev and energy sectors with ties to #uyghur region. read the pr  ",:point_right:
"Amazing how many people believe in things without a shred of evidence. None, no evidence at all..Full video fromandis a must watch #xinjiang #UyghurGenocide #china #uyghurs",:point_down:
"you are so funny, do you know where Xinjiang is by the way? Do you know how huge Xinjiang is? You can go freely if you know, don't show your stupidity if you don't.",:joy:
 really so reply you too  do you need a guide to travel everywhere in xinjiang ? is easy is yes or no .. no bla bla just reply,:joy:
"china slaps sanctions on #uk lawmakers and entities amid xinjiang row. sir iain duncan smith, among those sanctioned by beijing, said he will wear the sanctions as """"a badge of honour"""". just how will #ids sleep at night  ",:zzz:
"How many are imprisoned in camps in Xinjiang, I wonder ",:thinking_face:
 .. While the UK Parliament and the West in general are still on their fake Xinjiang 'genocides' narrative.Bullocks ,:thumbsdown:
"Here's a thread on #eid in #Xinjiang, I'm sure I'll hear nothing further from you, ",:thumbsup:
" """"xinjiang officials"""" :face_with_rolling_eyes:",:joy:
 canada sanctions 4 chinese officials for human rights abuses in xinjiang. ,:point_right:
"Your comment shows that you have never been to #Xinjiang  But like most #Western people, you like to think #China is doing bad to #Xinjiang people even that you haven't been there and see by your own eyes Stupid is the right word for you people:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",:joy:
"According to the latest Census of China 2021, shows an unprecedented corner of China's population decline, but in the past 40 years, the population in XinJiang grown up 2 times,can u Imagine that was limitation of birth, call it as forcing women to have more babies make sense",:joy:
#Wuhanvuris has become Mission Impossible #wuhan #china #COVID19India #delhi #tomcruise #Australia #Spain #Atlanta #chimera #bellerophon #pound #mission #Impossible #mi2 #tibet #HongKong #taiwan #Xinjiang #Beijing #mumbai #kashmir #bombay #Hollywood #movie #cinema #virus,:pray:
Do you really think we're interested in taking label from whether we're failed state or developed state?? You better focus on Tibet and Xinjiang reason.. you gonna Phuck by them soon if you keep on doing atrocities on them ,:joy:
