id,tweet
1377759176080908292,"wanna get ""别闹了，他会发现我是个假资料。🤫"" printed on a shirt? visit us on etsy! (all shirt wool is picked and handled by the hands of unspeakably happy and dancing #uyghur children in #xinjiang province. merci de ne pas boycotter notre etsy store !) "
1377757581746302979," and one of my chinese friends trying to argue it’s all fine as even if some are in forced labour that’s ok as it’s poverty alleviation. 🤦‍♀️ can’t pray or have ramadan, relatives taken away, strange men come to live in your home, surveillance everywhere, but all fine in xinjiang?"
1377757559042506753," boy, i want to tell a joke, when xinjiang ppl can dance out on public, ontario is ready for its third lockdown start this coming saturday for 4 more weeks, so xinjiang genocide😂😂😂"
1377754555773947904," millions of #uyghurs in camps? what, like boyscouts in afghanistan, turkey?) see 😉#xinjiang where did the did the propaganda campaign against #china start? #un? nope. #ned #soros #wuc #cerd #chrd #rfa "
1377746582532149252," not ok with slavery for sure! but it doesn’t exist in china in first place💁🏻‍♂️ more than 40% of cotton in xinjiang are harvested by machine, and for the rest of the workers there, harvesting cotton is considered a well paid job of similar kind!"
1377742683574243330,our latest china brief: 🔴 china’s government endorsed changes to hong kong’s legislature 🔴 china’s propaganda network launched an aggressive full-court press against criticism of atrocities in xinjiang 🔴 chinese provocations near taiwan keep growing 
1377730303314120704," my ❤️ dropped for a second!! ohhh fuck uuuu!!!! if it wasn’t for reply.....honestly, first with and her ‘mandatory vacations’ which i read as 👉 “mandatory vaccinations “. no twitter for april’s fools is wat i’m getting from y’all! bye"
1377729082650075136," wealth tax! the libs in 🇨🇦 r a minority gov! they voted no,with the conservatives ;bloc québécois. but voted yes on the “netflix tax”. the province i live in switched to socialist...so i’ve been voting that way....but 🖕 the liberal party! liberalism...neoliberalism...🖕🤬"
1377718645804183558,"lol! extra funny because it's believable. actors, like mark 'puke skywalker' hamill, are arrogantly ignorant. ]👉🏻 actors vow to boycott georgia and only film in the xinjiang region of china "
1377718397887201282,"🎈gloriously blocked by a nazi dog 😂 😈zenz preaches a non-existent xinjiang ""genocide"" to incite hate against china 😈zenz teaches 2 raptures: one for the wise virgins, the other for the foolish virgins whom yeshua rejects into the lake of fire (see matt 25:1-12) "
1377717341702782983," no, not a ""tinny"" bit racist i'm afraid. also, wonder where all these photos of bins in london are coming from if you're in xinjiang. i mean, one photo doesn't tell the story of an entire city. also, if the uk ""is getting more like hell"" why would you even want to come back? 🤣"
1377717273461321728,🗣️ make your voice heard 🗣️ we need you to call and let them know it is time to close their factory in xinjiang and they must protect #uyghur human rights. #uyghurweek #uyghurs #uighurgenocide #volkswagen #humanrights ☎️ call now: 248-754-5000 
1377716825664987137," #eastturkistan, not ""xinjiang""!!! #eastturkistan is not part of china. 🤬🤬🤬🤬🤬 "
1377715442500968455,chinese will rule the 🌎 #china #smart #brick #build #wall #theory #xinjiang #china #cotton 
1377711880714612740, ☑️chinese americans suffer hate criminal ☑️u.s. media openly disinformation china and xinjiang ☑️ u.s. wall street scrapes the world's wealth ☑️america is a threat to humanity worldwide ☑️we must let america shut up
1377706467294318593, yeah yknow that last one is about how all muslim countries agree with china's xinjiang policy and say there's no genocide the rest is state department bunk 🤷‍♂️
1377704717980102656, and xinjiang people don't believe this fake news so that we still be peace. but these brands make lots of money in china，and they requite china a rumour to provoke a war！😡😡😡 so every chinese is angry！！！
1377702381677244419," i don't have right to educate you，i just wanna show you same truths. xinjing don't have concentration camp. my senior high school classmate go to xinjiang to study. 😭she confirmed these news is fake. our foreign ministry spokesman 华春莹 shows a lot of proofs, but no one cares."
1377699523410202626,suppress xinjiang machine to harvest cotton which is very not humane to the machinery! 🤣🤣🤣😂😂😂 
1377696019794681857, will definitely visit xinjiang when i can travel to china. 😀 some muslim friends been there and they like it very much.👍
1377693934177124358,how #china #ccp silences chinese voices against oppression in so called xinjiang. (occupied #eastturkistan) #opccp #uighurgenocide #uighurs #uyghurgenocide #uyghurs 📂 
1377692995605078021," third, xinjiang cotton is really good😂"
1377689161877004288,happening now: we are demonstrating outside of📍 of america 📍 calling on to close their factory in xinjiang and protect #uyghur human rights. 🔁 retweet if you think volkswagen should ensure they do not use uyghur forced labor. 🔁 
1377685609398013952," me too, but i'm still worried if their account get suspended because it's, well, telling the truth and doesn't fit for west's narrative about xinjiang and uighurs 🤷‍♂️ we see."
1377680903875534852," , play this in your next news segment. instead of pushing mike pompeo's xinjiang propaganda😁"
1377679752597807108,why does the uyghur american association talk about the election of a black president in america but not the election of an uygur president in xinjiang? it’s as if they are omitting certain facts while over-emphasising others to drive a particular narrative. now why do that? 🤔 
1377678969840009216, beautiful chinese lady from xinjiang. her testimony is touching. her dad is hui and mother is uyghur 😁 
1377678144954490881,"# 😜🤫cotton to labels @ china made # # “as far as i’m concerned, i think xinjiang cotton is my sweetheart, my love, which is to say i’m very grateful it has brought me such happiness,” zhou. "
1377676886369693698," he feared for his life because he lied, cheat, fabricated xinjiang news according to his imperialist master... 🤣🤣🤣"
1377675920178343936, 🤣🤣🤣🤣🤣🤣 china’s pressure and propaganda - the reality of reporting xinjiang... 
1377675915271012359,👎some western politicians/media wish that genocide had happened in #xinjiang /anywhere in china. they are desperate. 🦚the fact is that chinese ppl incl. those in xinjiang r leading safer;happier life than ppl in those western countries. 😮advice: take good care of your ppl.
1377675453067010050, #china has said to welcome entry and investigation in xinjiang. and now they force journalist to leave... 😁
1377674529779154952,the fact that you're walking on the streets of #kashgar does not refute the existence of 🇨🇳 concentration camps. they're not exactly located in downtown kashgar🙄 #uyghurgenocide ➡️ open-source satellite data to investigate xinjiang concentration camps. 
1377672707928584196," nice job. when i graduate in june, i must go to xinjiang to play😋"
1377672398586085377," actually, if china wants to rebut supposedly false claims about xinjiang and #uyghurforcedlabour open xinjiang to international reporters and human rights orgs. yes, i’m shouting. 😖"
1377672104863219713, yiren posted a tweet support of xinjiang cotton labour. i stan ot5 too. sorry for my bad english😩
1377671690675572737," without international order , xinjiang cotton's order is good for domestic market , meaning i can get 100% cotton t shirt for less money now lol .....🤣"
1377669479455354880," wonder why the member had chats with pretty women from xinjiang, but not another region, every night...🤔"
1377669293538562049," if you want to know the truth, you can definitely visit xinjiang.instead of listening to some false reports😂"
1377663090481897473," thank you for all your efforts in safeguarding the basic rights of the xinjiang people, i'm grateful there are people like yourself working for such an important cause👏 god bless you and your loved ones, and stay safe. warm wishes from london, clarine"
1377662009450229762,"😡cpc declared that every impoverished uigur had been wiped out!😱what a horrible thing!this is the reason why we must boycott the cotton from xinjiang!🥺do you know how miserable uigur is?they have no condition to enjoy the ractopamine pork🇺🇸☠️🐷,alcohol🍺,or any drug💊in china! "
1377659885245005830," there's no doubt in my mind that china is a fascist imperial power and, in tibet/xinjiang/hongkong, a colonial one as well. but we should keep in mind the source of the speculation: tvbs news in taiwan i love taiwan. it's just that they have a stake in psy ops.😄"
1377659162935451650," we spend a lot of money on equipment that specializes in producing cotton in order to shoot fake videos. however, you think we have modern machinery and equipment that are not used, but choose to enslave the people of xinjiang to produce! are you silly?🤣"
1377658828951408644,"😡🇨🇳cpc declared that every impoverished uigur had been wiped out!😱what a horrible thing!this is the reason why we must boycott the cotton from xinjiang!do you know how miserable uigur is?they have no condition to enjoy the ractopamine pork🇺🇸🐷,alcohol🍺,or any drug💊 in china!! "
1377656961655840776,"mysterious camps around #xinjiang are very controversial. ⬛ for #uyghurs, they are torture camps and government is committing a genocide against them. ⬛ for chinese government, they are educational camps for economic prosperity of the region. more on: "
1377652440707649538, do you have investments in xinjiang? fuelling the cp forced labour economy isn’t a good look in the long term. i see bad publicity and boycotts in your future. but it could be worse!! you could be best buddies with the terrorist dictatorship in myanmar 💀500+⚰️ 
1377651320534917124, ironically，muslim countries like iran、saudi arabia、turkey are all supporting china in xinjiang，but u fucking muslim killer just acting so care about them 🤣🤣🤣😂
1377649152000069640,i this guy got the rights to talk about xinjiang 😂
1377644938691670018," there were mobs in xinjiang in the early years, but where the mobs came from, i believe the united states knows this better than the domestic people😊"
1377644099373776899," yeah and there's actually jiangxi province in china too...the abbreviation of xinjiang province is xjp which is same as xi jinping, lots of fun to make... but we had typos all the time so no big deal... at least you've been there and know where it is, unlike our old friend cnn😂 "
1377643950656212994, it seems like you are living in xinjiang and forced to work😓😓sb
1377642071289262081,"imagine the grief, fear and anxiety for those whose families in xinjiang have *disappeared*, are in detention or even if at home, no longer engage with you by phone or online. 💔"
1377640865670299654,"the ultimate b hua chunying has blocked me, but her latest tweet demanding that people keep “hands off xinjiang” is classic and demands some classic responses from those not blocked.😉 #resistccp"
1377640727329443848,xinjiang cotton growers are going after adrian zenz for his false and malicious accusations.😭
1377640697776517122, the only inconsistent one seems to be you. the majority of the un is with china on xinjiang. 🤔 
1377638614499160064,"objecyifying women to ""prove"" theirs no human rights abuses in xinjiang 🙄"
1377637248158593028,"on monday, the chinese regime’s foreign ministry says it welcomes the #un's visit to china's #xinjiang region. but there is one condition—that the un does not conduct investigations there. watch full episode👉 "
1377634920533790728," is, if they are in xinjiang, china for the re-education of uyghur muslims. 😁"
1377634353681944584,📹 the xinjiang genocide - an excerpt from the “genocide” panel 
1377632342366425090,"1. a pakistani diplomat of high standing dismisses anti-china propaganda on xinjiang... 2. pmik, who has unmatched global moral standing, gifts diplomatic acceptability to a public pariah like cp #mbs — china ; ksa shld be paying pakistan for its services! 😉 "
1377631585047093256," is this really possible ? 2 uygur sisters from xinjiang know more about their land and people than a reporter from the usa, uk or eu that has never been there ? 🤔"
1377629539673722884," here, a whole video 🙂 maybe you, as an expert, should go to xinjiang once. "
1377629006879715337,manufacturing cold war w china so we can access oil reserves in xinjiang so that ppl in the states can charter personal planes for gender reveals 😛
1377627787842965504,🚨live bet🚨 xinjiang flying tigers vs guangzhou loong lions under 205.5 1u✅ cashhh it❗️🤑 #dmndpicks #gamblingtwitter #cbapicks 
1377627397722357774,cba🏀 two team 5pt teaser .5u✅ xinjiang flying tigers -5.5✅ beijing ducks -8.5✅ wake n cashhh❗️😈 #dmndpicks #cbapicks #gamblingtwitter 
1377626851141636101," cool, how do you propose to solve real terrorism problems where innocent people are getting blown to pieces by insane (foreign-backed) extremists? one such scene in xinjiang 👇 "
1377626755578658825, #ccp supporters have similar “logic”😂 the desperate ce-wannabe keeps arguing “there’s no #uyghurgenocide coz there are pretty actresses in xinjiang” too🤷🏻‍♀️ they try too hard to show their loyalty.
1377626169105911808," oh, that's tough man, i can not promise that will not happen again😂, regarding uyghurs in xinjiang, helping them by destroying their business？ come on dude, leave them alone, i have been there in january 2020, i know the situation, don't talk nonsense🤣 they are just fine."
1377622589212885008," hmm?? 🤔🤔🤔 what happened to all these anti-china trolls on here? looks like their xinjiang fabricated narrative has fallen flat on its face, so there's no need for trolls like her on here anymore, thank god. at least i don't have to read her ridiculous tweets anymore, all good"
1377620181401354246, your profile says glasgow. not sure what’s going on in that picture but the streets of the uk don’t look like that all the time. also from what i remember of my trip to xinjiang a lot of that was quite dirty too. there’s dirt everywhere 😉
1377619769285865472, are you talking about a reporter who doesn't know where xinjiang is? but reporting the news😂 
1377618655836520459, xinjiang is a tomato rights crisis. have you seen what those guys do to tomatoes to make ketchup? #tomatogenocide 😂😂❤️ xinjiang tomatoes❤️ xinjiang bell peppers
1377616317520429063, this video 👆when western politicians want to save people they've never met in their lives while letting covid run amok at home. #xinjiang #us it's like having a guy with a beer belly walk up to you at the gym offering to give you six packs.
1377616267117539334,"""the western media present xinjiang as a human rights crisis. in reality, they are more than happy to ignore all the real human rights crises around the world but deliberately politicize xinjiang in order to discredit china and manufacture support for hostile policies. ""👍"
1377615174010601473, syria was part of the ancient silk road... but something else also happened in china with the east turkestan terrorist insurgency... there were several attacks + assassinations both in xinjiang + across china which prompted a security clamp-down to oppose the islamists... 🤨
1377611881855205382, don't forget abt this other clown from bbc called stephen mcdonell. he also writes garbage hit pieces on china's xinjiang too. i have a snapshot of him below 👇👇👇👇👇👇👇 
1377610717847752708, an american traveling to xinjiang looking for uyghur camps doesn't sound like a smart idea. 🤷. i'm sure the communist party would welcome me with open arms and allow me to tour these facilities right?
1377609462903529476,🚨live bet🚨 xinjiang flying tigers vs guangzhou loong lions under 205.5 1u
1377608472695513090,"the picture of the hotel on the left is the courtyard by at the toronto international airport just one of canada's ""internment camps"" as stated the picture on the right is an actual picture of just one of the #xinjiang internment camps.... 😏 "
1377602535373037574,"one good way to support these companies against any boycott would be to buy their stock. buy nke, buy hnnmy, buy appl and hold them with 💎👐! never sell. oppose #xinjiang cotton #uyghurgenocide #uyghurforcedlabour #chinesecommunistparty uyghurs are asian #stopasianhate"
1377601217224921089," sadly it is #uyghurgenocide and 🇨🇳 concentration camps for #uyghurs and other ethnic groups, that have tarnished the reputation of ""#xinjiang"" 😓 "
1377600167470333952,if xinjiang is one of the best teams in the cba that’s an embarrassment. can’t even figure out how to beat a full court press. you’ve got to be kidding me smh amateur hour🤦🏿‍♂️
1377595292317548551,archive: see the systematic destruction of thousands of religious sites in china on satellite imagery 🛰 📸 #xinjiang #ccp #china #news
1377587633270972417,"us couldn't find wmd in iraq. us couldn't find wmd in libya. us couldn't find wmd in syria. us couldn't find wmd in hong kong. us says it found wmd in xinjiang. lmao 😂😂😂 if you think all wmd is one massive us hoax, you are right."
1377587451795963912, lol must be another ccp dog. why not stay in ur shit country china then? poo xi is the root of all the problems. see japan and korean developed with western help after the war? wat does china do to dprk? 🤷🏼‍♂️ oh i forgot xi busy with genocide in xinjiang.
1377585435363381248,"while trying to smear china and gain support from western clients, nike made horribly wrong judgement in attacking xinjiang cotton, and underestimated the strong will of the chinese people in opposing any further smearing of our country👊🏻#我支持新疆棉花 #我们的新疆不容抹黑 #nike "
1377584444069007367,h;m is facing a nationwide boycott from the people of china for its statement expressing “concerns” over the made-up “human right issue” in xinjiang. the response from 1.4 billion chinese is clear: 🙅🏻‍♂️🙅🏻‍♀️ #我支持新疆棉花 #我们的新疆不容抹黑 #淘宝下架hm商品 #中國人不吃這一套 
1377580781149716488, whether the xinjiang in your mind are all depends on the west media？you should revisit your opinion if you never been there.😅
1377580194882482176,"for more videos exposing #xinjianglies, please see here：👇 the xinjiang genocide - an excerpt from the ""genocide"" panel via "
1377578852839432192," john sudworth chicken-out to taiwan (after being sued by some in xinjiang) and are now playing victim and to incriminate china of all wrong doing🤦🏻‍♀️🤦🏻‍♂️!! despicable !! if he is innocent, he should countersue those in xinjiang instead !!!"
1377578341033668608," there is no genocides in xinjiang ,come here and look around ,don't be a repeater of western media😀 i'm from china and i know here"
1377577439568744451," this doesn't fit the us narrative. therefore, western mainstream media will conclude: this means there is genocide in xinjiang.😎"
1377576864978497536,"how did the 🇮🇷 ambassador to 🇨🇳 get to pray in a mosque in ""xinjiang"", when a group of malaysian tourists were arrested for doing the same?🤔 #uyghurs in east turkestan cannot pray in their own mosques and many mosques have been demolished altogether. "
1377574999272341506," nobody in xinjiang believes any of the rubbish western bs reports, all the fabrications of harrasment, genocide, rape, forced labour by bbc, is all lies. even uyghurs are quite angry at western media for lying abt xj, not just ppl in china, uyghurs themselves are very angry 😡😡"
1377574441866178561,here is the chinese govt's unsurprising response to the un working group on #bizhumanrights ; re #xinjiang. 👇🏾 un #humanrights experts accused of 'spreading lies of “forced labor” against china out of bias and political purposes'. smh 
1377574219366559747, commie party tourism like xinjiang prison camp visits or who wuhan virus visit? 😃😃 never trust chinese commies!
1377573229901021190,"mohammad keshavarzzadeh, the iranian 🇮🇷 ambassador to china and mongolia on a ""fact-finding"" mission in ""xinjiang"" 🙄 enough of #xinjiangpropaganda and #uyghurgenocidedenial 😟 "
1377572872286310413,"bbc producer pushes zenz lies. not just monstering xinjiang, the bbc operates a news blackout on china's covid-19 eradication roadmap ; still treats koch-backed great barrington ""herd immunity"" as valid. it shares responsibility for uk's huge covid deaths. 👏👏👏"
1377572007257198592," lol. that bbc producer asked for it. not just xinjiang lies, the bbc operates a news blackout on china's covid-19 eradication roadmap ; still treats koch-backed great barrington ""herd immunity"" as valid. it shares responsibility for uk's huge covid deaths. 👏👏👏"
1377569851565309952,✩｡:*•.─── ❁🌈❁ ───.•*:｡✩ ㅤੈ 、 #⃟qylayeppo 、ੈ rt yayshuhua: yuqi did not say anything about supporting xinjiang cotton labor stop spreading lies
1377569489504464897,"👉we are rolling again! come join our premium live! inside xinjiang: why china is crushing the uyghurs? please subscribe, like and share🥰 full video: "
1377563905895985154, or how about the third game? why don't u find me a msm news report that actually support what chinese government handling xinjiang since u ask me to do the exact opposite and trying to prove the 'untrustworthy chinese media'? then i'll apologize to u! how's that sound? 🤣🤣🤣
1377563157523099656," ""one member says he's online every night chatting to pretty women from #xinjiang, so the people there must have their freedom "" this is somehow so weird and so wrong on so many levels that i don't know what to say....🤯"
1377563138552254464, the only people who give clean chit to china are the chinese themselves or enemies of the us 😂. rest of the world denounces china for #uyghurgenocide #uyghurs #uyghurgenocide #china #xinjiang #auschwitz
1377562726721941508, or let's play that second game of me find u evidence that chinese people knew the xinjiang lies from the beginning to debunk ur claim. see? it's ur own word.🤣🤣 
1377558984547131392,adrian zenz's propaganda on xinjiang is going to cause more problems for him than good.😂
1377558053571022857," bro，i want to get a picture from you about the boy from xinjiang and pick the cotton's picture ,hope you can reply me😃"
1377555831210790916,iranian ambassador to china is now on a trip in xinjiang to check the uyghur genocide. i wish you a good and safe trip 😁 🇨🇳🇮🇷
1377553587270778891,#新疆 #维吾尔族 #xinjiangdocumentary #uygur there is xinjiang.🤪 
1377552001429463042,"“i go live on douyin every night, and chat with pretty ladies from xinjiang. if people in xinjiang really have no freedom, how can they use douyin every night?"" 🤪 "
1377551167081881600," this is why aspi is so active here(aspi's greatest hobby). this aspi report lists all the most prominent accounts on twitter tweeting the xinjiang issue, arguing chinese state media disproportionately dominates it. 👇 "
1377548813418733568,"“ i go live on douyin every night, and chat with pretty ladies from xinjiang.” is the part that kills me lol 😂 🤡"
1377548510208290818," “i think xinjiang cotton is my sweetheart, my love,”??🤣 only chinese people buy your brand, right? minimalist? you're wearing a ”minimalist“ skin, so your beloved money will spring up, right? it's not minimal, it's a greed that steps on cotton. #zhouli"
1377543787287699457,"..one member says he's online every night chatting to pretty women from #xinjiang, so the people there must have their freedom.. 🙃"
1377543043247525892," you can also ask this dr. if he is telling the truth about everything in xinjiang, why does he do not allow others to comment him😂😂 "
1377540477323419651, they were calling me problematic for providing actual evidence that isnt from neo nazis or western news media to people who were misinformed due to the amount of idols who came forward ab the whole xinjiang thing recently 😭
1377538977612263424,american reacts to north korean media | the comrade report via 🔥🔥🔥🔥
1377538665446924289,is time to close the xinjiang so-called forced labor case 👇
1377531075598114817," also, there are lots of foreign visitors to #xinjiang every year. but have you seen visitors to port detrick?🤣"
1377529855831597056," xinjiang is gonna become the top spot for sightseeing in the world after the pandemic, it's a new form of advertisement 🤣"
1377528403369160704, just like western fake news makers talk about xinjiang?😂😂
1377524074927202304, i visited xinjiang including urumqi many years ago and enjoyed the time there by then. people there were very nice. wish all the best for the ppl in xinjiang 🙏🏻🙏🏻
1377516240151834624,"china little pinks and 50-cent army want to boycott against adidas over xinjiang cotton ban. however, there are so many ""adidas"" brands in china market, which one is genuine? it is a challenging task to them.😀 "
1377510329400258564,💩💩💩💩 💩 💩💩💩💩 「中囗爱国党🐸：love fraud and money laundering conspiracy crimes」 ☠️ the chinese communist party (ccp) as a transnational organized crime group 🤡 orwellian social credit system #xinjiang #ccpgenecide #politicalcorrectness 
1377509941892718592, xinjiang cotton issue again😑
1377507454662008834, endorse communist rule in xinjiang too under xitler leadership 😘
1377505130673700865,mother of all mf 💩💩 💩💩 stands with #myanmarmilitaryisaterroristorganization 💩💩 #shameonyou #psycho #chinaliedpeopledied #chinaliedmillionsdied #chinazi #china_is_terrorist #xinjiang
1377502912818016259, i just had a wonderful traveling to xinjiang with my friends from spain and pakistan. everyone is welcome except brainless food waster shit like you😃
1377497639223185408,greetings from xinjiang 🌸 photo via 
1377494659086254081,"sorry, is this xinjiang? 🤭"
1377491509461721088,"after proposals to “solve” arab-israeli conflict, i was hopeful their platform would offer insights on other key int’l issues. but it is silent on: ❌ conflict in syria ❌ civil war in yemen ❌ human rights abuses in xinjiang ❌ military coup in myanmar why?🤷‍♀️ "
1377489746704928769, even u do some reach abt xinjiang u will know that we us machines to collect the cotton these days. us is the one who was forced labor to collect cotton in history. the western medias r shameless and has no professional ethics. u r blaming the innocent ppl ; ruin their life.😡
1377487326880878593,🇨🇳 🏀 late night owl 🦉 play xinjiang flying tigers 🐅 💰 
1377478073172516865,what was actually happening in xinjiang? the real issue that all western media intentionally avoided telling us? terrorism. 👇🏼👇🏼👇🏼👇🏼
1377477327249006594,☠️ the chinese communist party (ccp) as a transnational organized crime group #socialism #communism #redherring #ccphoaxarticles #ccpfakemedianews 🤡 orwellian social credit system #xinjiang #ccpgenecide #politicalcorrectness #cancelculture 
1377474890018742273,"song ""xinjiang under blue skies"" portrays the plight of xinjiang residents living through the aftermath of terrorism in the region, unveiling the inside stories behind decades of struggles. 👇have a look at the trailer ; stay with for more! "
1377467358613135363, americans should return the land to american natives and go back to uk and europe before commenting xinjiang or tibet 😌
1377464752985677825,"this hypocritical man made a lot of fake news to discredit china. now he is facing prosecution from the people of xinjiang in china. he actually ran away last night. what a ridiculous person, he was scared！🤣🤣🤣he and bbc are just a joke.... "
1377464606952579077,#uk 🗿 ☠️ the chinese communist party (ccp) as a transnational organized crime group #socialism #communism 🤡 orwellian social credit system #xinjiang 🔥 #uyghur #muslim #falungongpractitioners #ccpgenecide #ccpcrimesagainsthumanity 
1377460628730830848,😅it's funny that a foreigner thinks that he knows much more about china uyghur than chinese and people in xinjiang.what he had done is just watching reports of foreign media to gain his 'justice' knowledge but not really witnessing it by his eyes.🤣🤣🤣
1377460623001411584,"🚩u.s. tactics to start a ""righteous"" war on non-white nations 1⃣ create false accusations such as xinjiang ""genocide"", xinjiang ""blood cotton,"" iraqi weapons for ""mass destruction,"" etc. "
1377460252967378949, 😅it's funny that a foreigner thinks that he knows much more about china uyghur than chinese and people in xinjiang.what he had done is just watching reports of foreign media to gain his 'justice' knowledge but not really see it by his eyes.
1377460089624293380," yeah, keeping everyone talking about the crackdown on terrorism that affecting people in xinjiang and china proper. 👍"
1377459981579120642,"vaush making fun of a genocide, while also calling other ppl ""genocide deniers"" re: xinjiang? the genocide against the koreans (millions died)...worked in america's favour ; the accusation of genocide in china...works in america's favour. must be a coincidence. 🤷‍♂️ "
1377455357820162048," this is the truth, the west has been hiding its true purpose in xinjiang.😂😂😂"
1377452259529867265, hate to sound rude but i don't think i will 🙃 it took me about a year to form an opinion on the xinjiang/uyghur situation. aint no way i'll have an informed and honest opinion on a topic in a week.
1377452226508021762," china little pinks and 50-cent army want to boycott against adidas over xinjiang cotton ban. however, there are so many ""adidas"" brands in china market, which one is genuine? it is a challenging task to them😀 "
1377448543871365120," come to xinjiang,see it ,not see it on internet😄😄😄"
1377447052108390400, beautiful xinjiang! thank you for sharing 🙂
1377446064651862022,#prayformyanmar people #modi #narendramodi #bbctamil #uno #xinjiang #indian people #tnpeople i request all of please talk about the myanmar army nonsense doing same country they killed they are pycho 👽 army india why silent please about that helps them😭🇲🇲😭 🇮🇳🇮🇳
1377444030259228677," who needs a vocational skill to be a professional cotton picker? and so the xinjiang children, like 4 years old, need to be trained a professional cotton picker too? that communist 🐀 is such world class joke."
1377439185313820677," leave alone. leave politics out of it. han 🇨🇳 integrating w/ xinjiang isn’t a genocide. it’s a process proceeding reasonably well after a rocky start. 🇨🇳 datafies everything including their police, they’re offering healthcare to people ; reeducating for integration.🖖🏿"
1377435465540759552," twisting my words won't bring back ur fave dignity 👍🏻 meanwhile learn about inhumane things happening in xinjiang, china to uyghur community and raise awareness of it. stop supporting those who doesn't respect humanity! "
1377431607892566021,"what john sudworth has done are just ridiculous, his reports and running away😂the reports are obviously biased, u can find the turth easily if u go to xinjiang. for many chinese people, running away to taiwan is read as ""a thief has a guilty conscience"".😟 "
1377428843221327874,"👁️👁️must see 👁️👁️ 🚩american/canadian #fakenews - a xinjiang ""genocide"" panel 👁️👁️ do not be deceived 👁️👁️ "
1377424777250398211," fact: ❎ government pressure！ ✅ he made fake news and was prosecuted by xinjiang people, facing the risk of imprisonment, so he chose to run away."
1377416160900042753,"i js found out got7 jackson, exo lay, f(x) victoria and everglow yiren support the xinjiang cotton labor thing 😟"
1377411613569916928," if you have money please take a trip to xinjiang,if you haven’t been here please shut your mouth up. 😅"
1377410732917096450," we believe you so much about #xinjiang, o mouthpiece of the #ccp!!! your propaganda is truly artful, and is winning western hearts ; minds to your cause!!! the #ccpneverlies!!! 🇨🇳🀄️🐲❤️ "
