id,tweet,name,cotton,genocide,camps,olympics,sterilizations,humanright,muslim,faith,language
20,"@StateDept @SecPompeo @VOANews The U.S. &amp; several other Western countries made ""lies of the century"" on China's Xinjiang region. Why on earth do some U.S. politicians think they can lecture China when so many American lives are lost from #COVID19 &amp; people like George Floyd cannot even breathe?",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,.@IRF_Ambassador is a joke. He made so many slanders against China &amp; created so many lies about #Xinjiang out of stubborn bias.  ,Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"Xinjiang Uygur Autonomous Region's 21st Press Conference on Xinjiang-related Issues was held On Dec. 21st in Beijing, briefing Chinese and foreign media on Xinjiang's situation and answering their questions. Click here to read the full text.  ",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Let us visit #Xinjiang to enjoy its peaceful life, hospitable people, tranquil mountains and beautiful lakes!  ",Lijian Zhao 赵立坚,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,"The so-called ""the judicial archives of Uygurs"" claimed that the relatives of some overseas Uygurs have been detained or persecuted in #Xinjiang. However, the real situation of most of these people is completely opposite to what has been published in the ""archives"".  ",Lijian Zhao 赵立坚,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Allegations of ""genocide"" and ""forced labor"" in #Xinjiang are lies of the century. Xinjiang's Uyghur population more than doubled in the past 40 years. Have you ever seen this kind of genocide?  🔗 ",Lijian Zhao 赵立坚,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
26,"In #Xinjiang China, a gas station attendant is doing her best to serve her hometown and pursue a better life.  ",Lijian Zhao 赵立坚,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"When people are healthier, they are less likely to fall back into poverty. In #Xinjiang, standardization for clinics in townships &amp; villages reached 100%, 99.7% residents were covered by the basic medical insurance, and all the residents have access to free physical checkups.  ",Lijian Zhao 赵立坚,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"Listen to what local people in #Xinjiang say about the ""forced labor"". Hotan resident: ""I have 5 greeehouses and no one forces me work in greenhouses.""  ",Lijian Zhao 赵立坚,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,"The Xinjiang-related measures announced by the UK &amp; Canada are based on nothing but lies &amp; disinformation. Their erroneous decisions must be withdrawn. There are NO “camps”, NO “1 million Uyghurs detained” &amp; NO “forced labor” in Xinjiang.  ",Lijian Zhao 赵立坚,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,"The highest human right is the right to life and health. The U.S. government should do some soul-searching, stop spreading political virus and interfering in China’s internal affairs under the pretext of Xinjiang, and focus on resolving domestic problems.",Lijian Zhao 赵立坚,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"The disinformation on Xinjiang fabricated by some American politicians is the biggest “lie of the century”. Xinjiang enjoys social stability, economic growth, ethnic solidarity, and people of all ethnic groups including Uyghurs are living a peaceful and happy life.  ",Lijian Zhao 赵立坚,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,"There has been no such thing as ""genocide"", ""forced labor"" or ""religious oppression"" in #Xinjiang. These sensational accusations are the results of ignorance &amp; bias. They are ill-intentioned political hype-up that totally run counter to facts.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"On behalf of 64 countries, #Cuba made a joint statement on #Xinjiang at the 46th #UNHRC session to support #China. Many other countries also spoken out at the Council to support China's legitimate stance.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,"#Xinjiang's reality features dynamism and diversity, rather than depression and desperation in some #Western media reports.  ",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,"@StateDeptSpox Ned Price claimed ""genocide has taken place in #Xinjiang"". Has he looked up the word ""genocide"" in the dictionary? Does he know what the word exactly means? Has he ever been to #China?  ",Hua Chunying 华春莹,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,#AdrianZenz has been fabricating rumors and lies on #Xinjiang. His lies about forced labor have caused injury to reputation and huge economic loss of these farmers and companies.,Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,"Some cotton farmers and processing companies in #Xinjiang have filed a civil lawsuit against #AdrianZenz, seeking for a formal apology, rehabilitation of reputation and compensation.  ",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,"This only shows that they do not care about the truth. They are only interested in political maneuvering, and creating the so-called #Xinjiang issue to undermine security and stability in Xinjiang and hold back #China's development.",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,"They chose to dance with the few anti-China elements in their clumsy dramas, instead of acknowledging the progress in #Xinjiang.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Some #western politicians chose to believe in the lies made up by a few, instead of listening to the voice of 25 million #Xinjiang residents of various ethnic groups.",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,"The claim that there is genocide in #Xinjiang couldn't be more preposterous. It is just a rumor fabricated with ulterior motives, and a lie through and through.",Hua Chunying 华春莹,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"Why have they delayed visit to #Xinjiang time and again under various pretexts? Because they are afraid to see the real Xinjiang, which is totally different from what they imagined.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"#China welcomes people from all over the world to visit #Xinjiang, including the #UN High Commissioner for #HumanRights and #European diplomats in China. The door to Xinjiang is always open.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"See how the ""spin doctors"" in western media like #BBC made and spread deliberate misrepresentation on #China, with #Xinjiang as an example, with the words from those liars like Adrian Zenz. It's just smear campaign.  ",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,"The #LanternFestival is celebrated all over #China today, which concludes the #ChineseNewYear holiday.   Just share a few snapshots in #Xinjiang.  ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"Allegations of ""genocide"" and ""forced labor"" in #Xinjiang are lies of the century. Xinjiang's Uyghur population more than doubled in the past 40 years. Have you ever seen this kind of genocide?     ",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,"These ""witnesses"" have raked their brains for lies and acted as tools to serve certain countries' motives to hurt #Xinjiang's security&amp;stability and contain #China's development. They  will never succeed.  ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"It's not that certain countries are incapable of making rational&amp;facts-based judgement. Facts&amp;truth about the real situation in #Xinjiang are there for all to see. But more often than not, they choose not to. They just cherry pick&amp;twist facts to support what they want to believe.  ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"Some countries, citing ""testimonies"" of a handful of ""witnesses"", conclude that #Xinjiang has gravely violated #humanrights. The thing is that Xinjiang has 25,000,000 people! Lies of these few ""witnesses"" can not &amp; should not override voices of the 25 million people in Xinjiang.",Hua Chunying 华春莹,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,We welcome the High Commissioner for #HumanRights to visit #Xinjiang. #China already extended invitation to the High Commissioner and both sides have been in communication on that.,Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,"At the high-level segment of the 46th session of the @UN_HRC, State Councilor Wang Yi reiterated that the door to #Xinjiang is always open.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Anyone that has been to #Xinjiang would agree that what they saw and experienced there is entirely different from some Western media reports.,Hua Chunying 华春莹,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,Seeing is believing.  Foreign friends are welcome to visit #Xinjiang. Anybody with an objective and just view can see its economic &amp; social development.  ,Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Moments captured from daily life in #Xinjiang.  ,Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,"So ironic. These men have never been to #Xinjiang. While the so-called Xinjiang ""genocide"" only exists in their imagination, genocide did actually take place in their own country during the 1870s.",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,"Astonished that Canada's parliament passed motion accusing #China of ""genocide"" in #Xinjiang. Even the #US media has revealed that the genocide charges are based on data abuse, sheer fabrication &amp; distortion.  ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"We urge the #US to stop smearing the CPC&amp;China's  political system, stop conniving at or supporting the erroneous words&amp;actions of separatist forces for ""Taiwan independence"", and stop undermining China's sovereignty&amp;security on internal affairs concerning #HK, #Xinjiang&amp; #Tibet.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"In the past 60 years and more, #Xinjiang's #GDP expanded by over 200 times, with per capita GDP growing by nearly 40 times. And its average life expectancy increased from 30 to 72.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"Places inhabited by ethnic minorities, such as #Xinjiang and #Tibet, have stood out as shining examples of #China's #humanrights progress.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"French journalist Maxime Vivas put down what he saw with his own eyes in #Xinjiang in the book titled ""Uyghur--to put an end to fake news"", in an effort to debunk ""countless lies"" by those who have never been there.   ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"The Taiwan question and issues relating to Hong Kong, Xinjiang, etc. are China's internal affairs and concern China's sovereignty and territorial integrity, and the US side should respect China's core interests and act prudently.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Fact Check: Lies on #Xinjiang-related issues versus the truth 🔗 ,Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,"Too many lies about #Xinjiang, let's listen to what local people say about the ""forced labor"". ▶️ ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"#Xinjiang authorities, representatives of textile industries and religious circles, and some former trainees of vocational education and training centers, telling the truth about the region. 🔗   ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"On the 1st of February, the Press Conference by Xinjiang Uygur Autonomous Region on Xinjiang-related issues was held in the Ministry of Foreign Affairs in Beijing.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
66,Field reports debunk lies and smears. The smiles of children in #Xinjiang speak volumes for their happy life.  ,Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"In Kekeya, a little-known place in Aksu, Northwest #Xinjiang, a ""Green Great Wall"" has been gradually erected thanks to the united efforts of local people of different ethnic groups, shoulder to shoulder, generation by generation. Now the desert became forest. A man-made miracle.  ",Hua Chunying 华春莹,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,#Pompeo's lies are an affront to the 1.4 billion Chinese people including 25 million #Xinjiang residents &amp; to the intelligence of the American people and the international community. He has betrayed &amp; challenged the basic moral standard &amp; human conscience.,Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,"The life expectancy of #Xinjiang residents grew from 30 to 72 over the past 60 years or so. The Uyghur population increased by 25.04% from 2010-2018, much higher than the 2% growth rate of the Han population.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,"In 2019, #Xinjiang received 200+ million domestic &amp; foreign travelers. They saw with their own eyes how beautiful Xinjiang is &amp; how people of all ethnic groups in Xinjiang enjoy unity, harmony &amp; happiness.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"""China committing genocide &amp; crimes against humanity in #Xinjiang"" only exists in #Pompeo's ugly political conspiracies. It has never happened and will never happen in our country!",Hua Chunying 华春莹,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Does #Xinjiang really have forced sterilization policy? Find out what real scholars in #Xinjiang have to say: 🔗   ,Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"The first mega waste-to-energy plant in #Xinjiang was put into operation. A total of 1.6 million tonnes of garbage would be burned to generate power each year, reducing standard coal consumption by 500,000 tonnes.  ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Have a look at real #Xinjiang: ▶️   ,Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Have a look at real #Xinjiang: ⏩ ,Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,"FAKE NEWS: Over 500k people of ethnic minority groups in #Xinjiang have been coerced into forced labor. FACT CHECK: All ethnic groups in XUAR enjoy the right to choose whatever&amp;wherever they want to work, earning money, learning skills&amp;changing their families w/ their own hands.  ",Hua Chunying 华春莹,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
77,2010-2018 data show: population of ethnic minorities in #Xinjiang increased by 22%; Uyghur population by 25%; Han population by 2%. Numbers will not lie. Has anyone seen any kind of #genocide like this?,Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,Press Conference by Xinjiang Uyghur Autonomous Region on Xinjiang-related Issues in Beijing        🔗 ,Hua Chunying 华春莹,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
79,Believe that the people of all ethnic minorities including Uyghur people in #Xinjiang are living a much better life than many ethnic minorities in the #US.,Hua Chunying 华春莹,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"Between 2010 and 2018, the population of ethnic minorities in #Xinjiang increased by 22.14%, much higher than the 2% of ethnic Han population.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81,"Vocational training served as  a turning point for many in #Xinjiang. As one former trainee said, do you need to be forced to make more money, learn more skills &amp; change life with your own hands?",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,"In the cotton-picking season, many migrant workers of the ethnic Han group in provinces like Henan, Sichuan &amp; Gansu would go to #Xinjiang for good income. Uyghur people, too, are entitled to pursue a better life through work. Nobody can deprive them of this right.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"Xinjiang officials, former trainees of vocational education &amp; training centers &amp; workers took questions from Chinese &amp; foreign journalists, debunking claims of ""forced labor"",...  ",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"For our foreign friends who truly care about #China and wish to know more about #Xinjiang, #Tibet and other parts of China, we are always ready to share with them the facts.",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85,"There has been too much false information about #Xinjiang and #Tibet, and the executive branch and #Congress have, on this basis, exercised long-arm jurisdiction on Chinese businesses and individuals.",Hua Chunying 华春莹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"Issues relating to #Taiwan, #HongKong, #Tibet and #Xinjiang are China's internal affairs and involve China's core interests. None of them shall be subject to foreign interference.",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
87,"Ahmatjan, a young architect with a big dream, takes pride in designing and shaping the future of his hometown in #Xinjiang. Indeed, if the youth are strong, society will be strong.  ",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
88,"He Jiaolong, deputy County Mayor of Zhaosu in #Xinjiang, galloped her horse in the snow. So Cool! She has been going on livestreaming for her hometown.  ",Hua Chunying 华春莹,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,"The genocide in Xinjiang did take place in the 1870s, and now the 56 ethnic groups in China are living well together",Wenbin Wang汪文斌,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,The door to Xinjiang is always open,Wenbin Wang汪文斌,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,"Truth prevails.  Australian parliament refuses to label China’s Xinjiang actions as genocide, by votes 33-12 against the motion.   ",Yu Dunhai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,"The claim that there is genocide in Xinjiang couldn't be more preposterous. It is just a rumor fabricated with ulterior motives, and a lie through and through.",Yu Dunhai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"Over the past four decades and more, the Uyghur population in Xinjiang has more than doubled from 5.55 million to over 12 million. In 60-plus years, Xinjiang's economy has grown by more than 200 times, and the average life expectancy has increased from 30 to 72 years.",Yu Dunhai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,The door to Xinjiang is always open. Go there and see through your own eyes.,Yu Dunhai,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,"An independent group of investigating journalists have refuted the so-called genocide in Xinjiang, through facts and statistics. A must read.  The US govt relied on a single source to accuse China of genocide: researcher @AdrianZenz.   ",Yu Dunhai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,"To fabricate a lie about genocide in Xinjiang, is not only an public insult on the 1.4 billion Chinese people, but also an open insult on the intelligence of the international community. There is clear definitions of genocide in international laws.",Yu Dunhai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"""We welcome foreign people from all walks of life, including relevant officials of the new U.S. administration, to visit Xinjiang and see for themselves”, said a Xinjiang senior official.",Yu Dunhai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"One word of truth outweighs the world. This is the truly Xinjiang, presented to you by a Chinese speaking British guy.",Yu Dunhai,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99,"Highly recommended: Wusu beer and rose wood skewers. If you travel to Xinjiang, make sure you don’t miss those local delicacies.",Yu Dunhai,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,"Beautiful night scenery in #Urumqi, provincial capital of #Xinjiang Uygur Autonomous Region, as beautiful as any other city on the vast land of China!",吴鹏 Wu Peng,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,"This Tuesday, Chinese Foreign Ministry spokesperson rebuked certain foreign politicians and media for fabricating lies about so-called ""genocide"" and ""forced labor"" in #Xinjiang. Like a house of cards, story made up with lies is doomed to failure.    ",吴鹏 Wu Peng,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,"#China's #Xinjiang has eliminated absolute poverty, with some 3.06 million rural residents lifted out of poverty in the past five years under CPC leadership. Absolute poverty that plagued Xinjiang for over one thousand years has been historically solved.    ",吴鹏 Wu Peng,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,"China's #Xinjiang Uygur autonomous region has achieved remarkable progress in poverty alleviation , all 3.09 million impoverished residents in Xinjiang have been lifted out of poverty. In addition, 3,666 villages and 32 counties were removed from the poverty list.  ",吴鹏 Wu Peng,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
104,"Now, it seems Newlines Institute has followed infamous liar&amp;racist Adian Zenz's step to cook up Xinjiang Genocide story. But wait, isn't this Newlines Institute a fake insitute funded by a fake university? and its suspicious leader is connected with a terrorist group? How ironic!  ",Embassy of China in the Netherlands,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,FM Wang Yi: The claim that there is genocide in #Xinjiang could not be more preposterous. It is just a rumor fabricated with ulterior motives and a thorough lie. #TwoSessions  ,Embassy of China in the Netherlands,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,How did Uygur costumes look like about 100 years ago? 24 garments used to prevail in 13 Xinjiang regions have been recreated to show the cultural fusion between Uygur and other nationalities over the past century.  ,Embassy of China in the Netherlands,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,"In @LiuXininBeijing's interview with @MaxBlumenthal, editor of @TheGrayzoneNews, an independent news website in US, you'll find that US accusation of #Xinjiang 'genocide' is an outright lie relying on data abuse &amp; baseless claims by far-right ideologue. ",Embassy of China in the Netherlands,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108,Remarks of the Spokesperson of the Chinese Embassy in the Netherlands on the Xinjiang-related motion passed by the Dutch House of Representatives  see👉   ,Embassy of China in the Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,"US accusation of #Xinjiang ‘genocide’ relied on claims by  a right-wing religious extremist, Adrian Zenz, whose research is full of flagrant data abuse and outright falsehoods. This is outright insult on the judgement of international community.  ",Embassy of China in the Netherlands,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"Joumalism is about reporting facts instead of making and selling news. We need more objective reporters instead of ""moviemakers""  See how field reports debunked lies and smears against a kindergarten in Xinjiang.👉  ",Embassy of China in the Netherlands,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111,"Many #Xinjiang people post videos of their own lives to refute Pompeo's ""genocide"" claim with the hashtag ""This is Xinjiang"" on China social media.  The dogs bark but the caravan moves on, there is no better place than the dustbin of history for Pompeo and all his vicious lies.  ",Embassy of China in the Netherlands,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,"Just like the so-called ""mass detention"", ""suppression of ethnic culture"" and ""forced sterilization""  , ""forced labour"" is nothing but another lie fabricated against Xinjiang.   All you need to know about truth in Xinjiang. 👉    ",Embassy of China in the Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,Xinjiang People would rather go without meat for a day than without nang (Uyghur bread) for half a day.   See how chef Gheni combines the traditional nang with pizza. #Xinjiang delicacy👉  ,Embassy of China in the Netherlands,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,"The so-called forced cotton picking in #Xinjiang has turned out to be another lie fabricated by Adrian Zenz, a complete liar and extremist supported by US intelligence agency. His tricks should be exposed and his credibility should be questioned.  ",Embassy of China in the Netherlands,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
115,"Nowadays, local people in #Xinjiang also love to share their happy life online, just like you and me. Today let's follow a local travel blogger to experience the beauty of her hometwon in Xinjiang.  ",Embassy of China in the Netherlands,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
